Student ID,9/18/13
ab35243,0
ac36285,7.00
adp2266,7.00
adw2384,0
aeg2338,10.00
af9466,7.00
agr629,7.00
ajc3255,7.00
ak24358,10.00
akx58,0
ald2292,4.00
alp2587,10.00
alp2973,7.00
alw2966,10.00
an7349,7.00
anm2727,10.00
apg673,7.00
ar32326,4.00
ar36725,7.00
ar42535,4.00
arg2897,4.00
art993,0
as53952,7.00
as54582,7.00
at26456,10.00
at27462,10.00
aw24249,4.00
aw26484,0
ba7433,10.00
bc25589,0
bdj533,0
bec662,4.00
bg9554,4.00
bmd749,10.00
bs28798,7.00
bs29843,7.00
cbo268,10.00
cec2736,7.00
ch34285,7.00
chw583,10.00
cj8759,4.00
ck22736,10.00
cme789,10.00
cps736,4.00
csa575,7.00
ctd446,0
dd23456,7.00
ddd929,10.00
dho86,10.00
djj499,4.00
djv393,10.00
dkj353,10.00
dmk764,7.00
dms3752,7.00
dt22472,7.00
dtj264,7.00
dua59,7.00
eaj628,4.00
ech724,7.00
ees847,7.00
eg24626,7.00
ekt272,7.00
ffg82,10.00
gfm367,4.00
hc9854,0
hek269,7.00
hotrodut,7.00
ht5769,7.00
ij964,7.00
jag3248,7.00
jah5538,10.00
jas7648,7.00
jc45733,7.00
jc55394,10.00
jc57655,7.00
jcl2846,10.00
jcu243,7.00
jdf2449,7.00
jfh793,4.00
jg46368,10.00
jgr847,7.00
jj27228,7.00
jl46442,7.00
jmm7722,0
jmo569,4.00
jp43992,10.00
jrg3993,4.00
jsh2936,0
jt29263,7.00
jw36472,7.00
jws3295,10.00
jyh,4.00
jyo227,7.00
kac2765,0
kam3844,10.00
kap2454,7.00
kat955,7.00
kb26539,0
kcs849,7.00
ken449,10.00
kgc455,10.00
kmd2559,7.00
kms4529,7.00
kt7832,7.00
lbk267,7.00
lmd2346,7.00
lmv565,7.00
lr9975,4.00
lw24393,4.00
lz4376,7.00
ma34897,7.00
mab6285,10.00
mar4425,7.00
mc35843,0
mdh2454,0
mg36476,7.00
mjn566,7.00
mjw996,4.00
mlj987,10.00
ms49886,7.00
mth793,7.00
muo58,7.00
mv8254,7.00
mve237,7.00
ngb299,4.00
njt332,4.00
nl6382,7.00
nmi79,7.00
nnp334,7.00
np5767,10.00
ntt249,10.00
pa5484,10.00
pas2363,0
pjl529,7.00
pkb433,10.00
pl6976,4.00
pmm2248,7.00
ps23775,7.00
pz2246,0
qrw66,10.00
rad2665,7.00
rag3384,0
ras3985,7.00
rbp427,0
rea528,0
rh27589,10.00
rs39598,7.00
rs39623,10.00
rs42349,7.00
rtf349,4.00
ruc59,7.00
skc966,7.00
sl32846,7.00
smh3226,10.00
sms5543,7.00
so5263,0
sp32768,0
ss54285,7.00
ssp787,10.00
svm385,7.00
sys298,7.00
sz3236,10.00
td7598,7.00
tkn279,7.00
tvp265,7.00
vcg266,7.00
vjf244,7.00
vnn95,7.00
vt3686,4.00
wag453,7.00
wgc273,4.00
ww5993,10.00
yw5793,7.00
yz6834,10.00
zj676,7.00
#375C9EF5,7.00
#8918AD3C,7.00
#8978B849,0
#8B3EAF1A,0
#8DE7ABC1,10.00
